gpu_mem_total_mib,gpu_mem_used_mib,gpu_power_w,t
,,10.71,1784071203.9706829
,,12.87,1784071204.9929304
,,11.82,1784071206.0168924
,,27.67,1784071207.0384057
,,32.71,1784071208.0858212
,,35.52,1784071209.132021
,,36.56,1784071210.1794975
,,37.41,1784071211.2259276
,,39.26,1784071212.270504
,,41.07,1784071213.3221068
,,45.28,1784071214.382865
,,51.38,1784071215.42987
,,51.15,1784071216.4738824
,,49.79,1784071217.5266342
,,49.32,1784071218.5707355
,,46.15,1784071219.5950885
,,59.51,1784071220.642111
,,59.35,1784071221.6865757
,,53.58,1784071222.72176
,,59.94,1784071223.7631028
,,59.54,1784071224.8011842
,,54.96,1784071225.8381727
,,59.67,1784071226.8742468
,,35.33,1784071227.9207208
,,58.43,1784071228.9441867
,,68.33,1784071229.9865344
,,61.86,1784071231.0260618
,,56.65,1784071232.0721014
,,63.01,1784071233.1159565
,,63.17,1784071234.1558945
,,63.07,1784071235.1897948
,,58.33,1784071236.2227786
,,61.36,1784071237.2626421
,,51.85,1784071238.3020048
,,33.03,1784071239.3488927
,,33.05,1784071240.388486
,,33.02,1784071241.4308536
,,32.95,1784071242.4801688
,,32.98,1784071243.51665
,,33.0,1784071244.5532942
,,33.02,1784071245.5968814
,,34.38,1784071246.6372533
,,32.99,1784071247.6800897
,,33.1,1784071248.7220862
,,33.11,1784071249.771146
,,33.02,1784071250.8135839
,,33.1,1784071251.8521137
,,33.1,1784071252.8968573
,,33.06,1784071253.937662
,,33.1,1784071254.9792733
,,33.06,1784071256.0266652
,,34.42,1784071257.0660279
,,33.11,1784071258.1095304
,,33.21,1784071259.1543267
,,33.29,1784071260.2055516
,,33.18,1784071261.244474
,,33.22,1784071262.2944367
,,33.2,1784071263.3417947
,,33.25,1784071264.3860867
,,33.5,1784071265.4326098
,,33.22,1784071266.4722648
,,33.29,1784071267.5197258
,,33.24,1784071268.567658
,,33.36,1784071269.61221
,,33.3,1784071270.6629984
,,33.4,1784071271.7058225
,,33.81,1784071272.7445083
,,33.43,1784071273.7928793
,,33.42,1784071274.8370874
,,33.4,1784071275.884244
,,33.42,1784071276.9296255
,,33.78,1784071277.9745827
,,33.48,1784071279.0204601
,,33.39,1784071280.0671167
,,33.46,1784071281.107479
,,33.45,1784071282.1476297
,,33.46,1784071283.1830127
,,33.47,1784071284.233713
,,33.47,1784071285.2757354
,,33.47,1784071286.316744
,,33.57,1784071287.3606088
